자치구,단지명,임대유형,주소,전체 세대수,임대 세대수,사용승인일
서대문구,DMC센트레빌(가재울뉴타운2),재개발,거북골로 120 남가좌동 DMC센트레빌아파트,473,100,2009-06-02
성북구,래미안석관,재개발,화랑로 214 석관동 래미안석관,80,80,2009-06-29
강동구,강일지구5단지(임대),"국민,장기",아리수로97길 20 강일동670 강일리버파크5단지아파트,722,432,2009-06-30
서대문구,홍은센트레빌,재개발,통일로 553 홍은동 홍은 센트레빌,48,48,2009-07-31
의정부시,수락리버시티1단지,"국민,장기",누원로 51 장암동413 수락리버시티1단지,680,453,2009-08-13
의정부시,수락리버시티2단지,"국민,장기",누원로 52 장암동412 수락리버시티2단지,473,175,2009-08-13
서초구,래미안퍼스티지,재건축,반포대로 275 반포동 래미안퍼스티지아파트,2444,266,2009-07-15
구로구,구로경남아너스빌(임대),재건축,구로중앙로8길 41-23 구로동 경남아너스빌,129,9,2009-05-19
광진구,한라녹턴(임대),재건축,영화사로16길 43 구의동 구의동 아차산 한라아파트,72,3,2009-07-10
서대문구,돈의문센트레빌(서대문센트레빌),재개발,독립문로14길 33 냉천동 돈의문센트레빌,120,120,2009-08-30
은평구,"마고정3-2단지(은평2-3,임대)","국민,장기",진관2로 90 진관동107 은평뉴타운 마고정,659,200,2009-10-29
성북구,래미안종암2차(종암4),재개발,종암로23길 35 종암동 래미안세레니티,206,206,2009-10-30
성동구,왕십리 주상복합,장기전세,청계천로 474 하왕십리동286-2 왕십리 모노퍼스 주상복합,97,69,2009-11-20
노원구,수락리버시티3단지,"국민,장기",누원로 28 상계동1312 수락리버시티 3단지,696,360,2009-10-31
노원구,수락리버시티4단지,"국민,장기",누원로 18 상계동1313 수락리버시티4단지,548,264,2009-10-31
은평구,"마고정3-3단지(은평2-2,임대)","국민,장기",진관2로 60 진관동105 은평뉴타운 마고정,434,193,2009-11-10
은평구,"마고정3-1단지(은평2-11,임대)","국민,장기",진관1로 55 진관동106 은평뉴타운 마고정,469,285,2009-11-10
송파구,송파파인타운1단지(임대),장기전세,충민로 188 장지동833 송파파인타운1단지,221,46,2009-11-12
성동구,행당두산위브,재개발,행당로8길 8 행당동 행당두산위브아파트,114,114,2009-12-03
은평구,"우물골2-1단지(은평2-4,임대)","국민,장기",진관2로 67 진관동82 은평뉴타운 우물골,143,83,2009-12-04
은평구,"우물골2-2단지(은평2-5,임대)","국민,장기",진관2로 77 진관동83 은평뉴타운우물골,387,164,2009-12-04
중랑구,신내데시앙,"국민,장기",용마산로 669 신내동317 신내데시앙아파트,1326,967,2009-12-10
강동구,고덕아이파크,재건축,동남로79길 26 고덕동 고덕아이파크,1142,128,2010-02-18
강남구,래미안그레이튼,재건축,도곡로43길 20 역삼동 래미안 그레이튼,476,24,2009-12-28
서초구,서초교대이편한세상,재건축,서초중앙로24길 33 서초동 서초교대이편한세상,435,24,2010-02-28
구로구,온수힐스테이트,재건축,부일로9길 127 온수동 온수 힐스테이트,999,56,2009-10-01
동대문구,래미안용두1차,재개발,고산자로29길 18 용두동 래미안허브리츠,210,210,2010-02-25
강북구,래미안트리베라1차(래미안트리베라6),재개발,삼양로19길 25 미아동 삼성래미안트리베라1차아파트,1247,212,2010-05-28
강북구,래미안트리베라2차(래미안트리베라12),재개발,삼양로27길 19 미아동 삼성래미안트리베라아파트,1330,228,2010-05-28
은평구,"폭포동4-1단지(은평3-10,임대)",장기전세,진관1로 77-8 진관동 은평뉴타운 폭포동,297,297,2010-05-15
마포구,상암월드컵파크 11단지(임대),"국민,장기",월드컵북로 502-37 상암동1741 상암월드컵파크11단지,588,530,2010-05-27
성북구,길음뉴타운8단지(길음8),재개발,길음로 33 길음동 길음뉴타운,120,120,2010-06-30
은평구,"구파발9-1단지(은평3-3,임대)","국민,장기",진관3로 15-35 진관동 은평뉴타운 구파발,1022,1022,2010-06-13
마포구,상암월드컵파크 10단지(임대),"국민,장기",월드컵북로 502-36 상암동1736 상암월드컵파크10단지,861,719,2010-06-24
성북구,길음뉴타운7단지(길음7),재개발,길음로13길 22 길음동 길음7구역 두산위브아파트,99,99,2010-07-31
은평구,북한산힐스테이트3차(불광3),재개발,불광로14길 10-4 불광동 북한산현대힐스테이트3차아파트,147,147,2010-08-20
성북구,래미안종암3차(종암5),재개발,종암로24가길 80 종암동 래미안라센트,188,188,2010-08-31
은평구,북한산래미안(불광6),재개발,불광로2길 41 불광동 북한산래미안아파트,135,135,2010-08-28
강북구,송천동부(미아10-1),재개발,숭인로 39 미아동 송천센트레빌,376,70,2010-09-13
성북구,길음뉴타운9단지(정릉길음9),재개발,길음로9길 50 길음동 길음뉴타운,242,242,2010-09-30
마포구,상암월드컵파크 9단지,"국민,장기",월드컵북로 501 상암동1752 상암월드컵파크9단지,1036,766,2010-09-28
마포구,상암월드컵파크 12단지(임대),"국민,장기",월드컵북로 502-7 상암동1743 상암월드컵파크12단지,380,166,2010-10-14
성북구,종암2차SK뷰(종암6),재개발,종암로24길 35 종암동 종암2차SK뷰아파트,393,68,2010-10-31
은평구,"구파발10-2단지(은평3-4,임대)","국민,장기",진관3로 15-35 진관동 은평뉴타운 구파발,423,423,2010-11-30
구로구,고척벽산블루밍(고척3),재개발,고척로60길 30 고척동 벽산베스트블루밍아파트,339,59,2010-12-01
동대문구,래미안아름숲(전농6),재개발,전농로16길 51 전농동 래미안아름숲,148,148,2010-11-29
동대문구,휘경센트레빌(휘경2),재개발,외대역동로 14 휘경동 휘경센트레빌,297,51,2010-12-15
강동구,고덕리엔파크1단지,"국민,장기",상일로 152 강일동707 고덕리엔파크1단지아파트,605,459,2010-12-15
강동구,고덕리엔파크2단지,"국민,장기",고덕로 427 강일동717 고덕리엔파크2단지아파트,636,443,2010-12-15
양천구,양천롯데캐슬,재건축,오목로5길 19 신월동 양천롯데캐슬,317,11,2010-07-21
강남구,래미안그레이튼2차,재건축,도곡로43길 21 역삼동 래미안그레이튼,464,22,2010-06-04
동대문구,청계한신휴플러스,재건축,서울시립대로 14 답십리동 청계한신휴플러스,725,20,2010-08-13
강동구,고덕리엔파크3단지,"국민,장기",상일로 74 상일동490 고덕리엔파크3단지아파트,2283,1814,2010-12-30
송파구,송파파크데일1단지,"국민,장기",성내천로37길 37 마천동582 송파파크데일1단지,812,527,2011-01-11
송파구,송파파크데일2단지,"국민,장기",성내천로47길 38 마천동607 송파파크데일2단지,889,635,2011-01-11
용산구,용산e편한세상(신계),재개발,원효로 216 신계동 용산e편한세상,867,168,2011-02-22
강남구,강남신동아파밀리에1단지,"국민,장기",헌릉로590길 100 세곡동508 세곡리엔파크1단지,395,307,2011-01-31
강남구,강남신동아파밀리에2단지,"국민,장기",헌릉로590길 10 세곡동511 세곡리엔파크2단지,410,324,2011-01-31
강남구,세곡리엔파크3단지,"국민,장기",헌릉로590길 11 세곡동516 세곡리엔파크3단지,363,303,2011-01-31
마포구,래미안공덕5차(공덕5),재개발,마포대로 173-15 공덕동 래미안 공덕5차,794,136,2011-02-25
서초구,반포리체,재건축,고무래로 35 반포동 반포리체아파트,1119,43,2010-10-29
양천구,신정이펜하우스2단지,"국민,장기",신정이펜2로 55 신정동1322 신정이펜하우스2단지,471,259,2011-03-25
양천구,신정이펜하우스5단지,"국민,장기",신정이펜1로 27 신정동1318 신정이펜하우스5단지,238,154,2011-03-25
동작구,흑석한강센트레빌(흑석5),재개발,흑석한강로 12 흑석동 흑석한강센트레빌,655,114,2011-03-25
성동구,서울숲행당푸르지오(행당5),재개발,고산자로 177 행당동 서울숲행당푸르지오아파트,94,94,2011-05-03
구로구,천왕이펜하우스2단지,"국민,장기",천왕로 92 오류동353 천왕이펜하우스2단지,526,359,2011-06-03
강남구,세곡리엔파크4단지,"국민,장기",헌릉로590길 88 세곡동 세곡리엔파크4단지,407,407,2011-05-22
구로구,천왕이펜하우스6단지,"국민,장기",천왕로 9 천왕동275 천왕이펜하우스6단지,678,502,2011-06-17
양천구,신정이펜하우스3단지,"국민,장기",신정이펜1로 50 신정동1316 신정이펜하우스3단지,1339,1137,2011-05-31
양천구,신정이펜하우스4단지,"국민,장기",신정이펜1로 51 신정동1317 신정이펜하우스4단지,546,329,2011-05-31
동대문구,일성트루엘,재건축,천호대로83길 71-7 장안동 일성트루엘아파트,116,10,2011-06-28
구로구,천왕이펜하우스5단지,"국민,장기",천왕로 10 천왕동277 천왕 이펜하우스 5단지,522,458,2011-07-19
은평구,북한산힐스테이트(불광7),재개발,통일로 796 불광동 북한산 힐스테이트7차,188,188,2011-07-29
양천구,신정이펜하우스1단지,"국민,장기",신정이펜1로 99 신정동1321 신정이펜하우스1단지,466,338,2011-07-09
구로구,천왕이펜하우스4단지,"국민,장기",천왕로 29 천왕동273 천왕 이펜하우스 4단지,478,366,2011-08-03
서초구,우면2지구 다세대(임대),기타임대,형촌길 60 우면동 네이처힐 가든,115,115,2011-08-31
구로구,천왕이펜하우스1단지,"국민,장기",천왕로 91 천왕동281 천왕 이펜하우스 1단지,314,156,2011-10-12
구로구,천왕이펜하우스3단지,"국민,장기",천왕로 56 천왕동278 천왕 이펜하우스 3단지,1044,1002,2011-09-12
강남구,청담자이,재건축,영동대로138길 12 청담동 청담자이아파트,708,20,2011-10-26
동작구,두산위브(사당),재건축,사당로13길 31 사당동 두산위브 트레지움,451,23,2011-10-31
강남구,강남데시앙파크,"국민,장기",헌릉로590길 63 세곡동525 강남데시앙파크,546,211,2011-11-01
서초구,서초네이처힐4단지,"국민,장기",태봉로2길 65 우면동720 서초네이처힐4단지,409,232,2011-12-12
서초구,서초네이처힐5단지,"국민,장기",태봉로2길 5 우면동 서초네이처힐5단지,509,509,2011-12-12
서초구,서초네이처힐7단지,국민,태봉로2길 10 우면동735 서초네이처힐7단지,275,179,2011-12-12
중구,래미안신당하이베르(신당6),재개발,퇴계로90길 74 신당동 래미안신당하이베르아파트,161,161,2011-10-28
강북구,미아두산위브트레지움(미아8),재개발,삼양로27길 95 미아동 두산위브트레지움아파트,1370,234,2011-10-31
동작구,래미안트윈파크(본동5),재개발,노량진로23가길 23 본동 래미안 트윈파크,528,91,2011-11-04
중구,청구e편한세상(신당7),재개발,청구로 64 신당동 청구 e편한세상,158,158,2011-12-13
동대문구,브라운스톤휘경(휘경4),재개발,망우로20길 86 휘경동 브라운스톤 휘경,451,78,2011-12-23
은평구,백련산힐스테이트1차(응암7),재개발,백련산로2길 39 응암동 백련산 힐스테이트 1차,78,78,2011-12-22
은평구,백련산힐스테이트2차(응암8),재개발,백련산로2길 42 응암동 백련산 힐스테이트 2차,255,255,2011-12-22
은평구,백련산힐스테이트3차(응암9),재개발,백련산로2길 46 응암동 백련산 힐스테이트 3차,219,219,2011-12-21
송파구,송파래미안파인탑,재건축,오금로32길 31 송파동 래미안송파파인탑,794,25,2012-01-06
서대문구,동원베네스트,재건축,홍은중앙로1길 65 홍은동 동원베네스트아파트,195,22,2012-01-19
성북구,희망하우징(정릉 380-3),기타임대,정릉로 199 정릉동 정릉희망하우징,54,54,2012-02-06
은평구,"구파발10-3단지(은평3-5,임대)","국민,장기",북한산로 2 진관동 은평뉴타운구파발,712,712,2012-01-09
양천구,신정뉴타운두산위브(신정1-2),재개발,신월로20길 7 신월동 신정뉴타운두산위브아파트,357,61,2012-02-28
서초구,서초네이처힐2단지,"국민,장기",형촌길 15 우면동712 서초네이처힐2단지,133,96,2012-04-03
성동구,래미안하이리버(금호17),재개발,금호로 111 금호동2가 하이리버,96,96,2012-04-30
성동구,래미안하이리버(금호19),재개발,금호로 111 금호동2가 하이리버,210,210,2012-04-30
동작구,흑석한강푸르지오(흑석4),재개발,흑석한강로 27 흑석동 흑석한강푸르지오,863,147,2012-07-02
성동구,금호자이2차(금호18),재개발,금호산8길 14 금호동3가 금호자이2차,403,83,2012-07-05
강남구,개나리에스케이뷰,재건축,역삼로 315-1 역삼동 개나리SK뷰,240,7,2012-08-17
성동구,서울숲2차푸르지오(금호14),재개발,금호로3길 11 금호동4가 서울숲2차푸르지오,121,121,2012-08-10
성북구,동일하이빌뉴시티(신월곡),"재건축,장기",종암로 167 하월곡동 동일하이빌뉴시티,440,38,2011-11-30
강서구,방화동원룸(유니트로),기타임대,개화동로21길 49 방화동 유니트로,75,75,2012-07-20
서대문구,DMC래미안e편한세상(가재울뉴타운3),재개발,수색로 100 북가좌동 DMC래미안e편한세상,3293,629,2012-10-05
서초구,서초네이처힐1단지,"외국인,장기",형촌길 35 우면동707 서초네이처힐1단지,178,88,2012-10-15
마포구,연남공공원룸텔(임대),기타임대,성미산로17길 79 연남동 서울공공주택연남동희망원룸,30,30,2012-12-10
송파구,문정공공원룸텔,기타임대,새말로 114-1 문정동 서울공공주택문정동희망원룸,31,31,2012-10-22
동작구,흑석한강센트레빌2차(흑석6),재개발,서달로 91 흑석동 흑석한강센트레빌2차,963,165,2012-12-24
서초구,서초네이처힐3단지,"국민,장기",태봉로2길 60 우면동717 서초네이처힐3단지,1251,853,2012-12-30
서초구,서초네이처힐6단지,"국민,장기",태봉로2길 30 우면동737 서초네이처힐6단지,382,275,2013-01-21
노원구,공릉공공원룸텔,기타임대,화랑로51가길 3 공릉동,14,14,2013-03-04
마포구,메세나폴리스(합정1),재개발,양화로 45 서교동 메세나폴리스,617,77,2012-09-21
성동구,래미안옥수리버젠(옥수12),재개발,매봉길 17 옥수동 래미안 옥수 리버젠,310,310,2013-03-31
동대문구,래미안크레시티(전농7),재개발,사가정로 65 전농동 래미안크레시티아파트,2397,413,2013-04-30
강남구,래미안도곡카운티,재건축,도곡로 320 도곡동 래미안도곡카운티,397,14,2013-02-25
중랑구,묵동리본타워(묵동시프트),장기전세,신내로 277 묵동 묵동리본타워,86,86,2013-05-30
강남구,역삼동 공공원룸텔,기타임대,도곡로23길 5 역삼동,30,30,2013-09-17
서초구,양재동 102번지 장기전세아파트,장기전세,바우뫼로18길 20 양재동 양재리본타워1단지,231,231,2013-10-04
강서구,강서한강자이,"재건축,장기",양천로55길 55 가양동 강서한강자이,790,81,2013-09-25
서초구,서초포레스타7단지,장기전세,청계산로11길 7-12 신원동646 서초포레스타7단지,310,241,2013-09-30
도봉구,북한산코오롱하늘채(쌍문1),재개발,우이천로 367 쌍문동 북한산코오롱하늘채아파트,293,50,2013-10-25
은평구,녹번센트레빌(응암3),재개발,백련산로 160 응암동 녹번역센트레빌,350,60,2013-09-26
은평구,불광롯데캐슬(불광4),재개발,불광로 64 불광동 불광 롯데캐슬,100,100,2013-09-30
중랑구,신내3지구 2단지(임대),"국민,장기",신내역로 165 신내동817 신내우디안2단지,1896,1176,2013-12-13
구로구,천왕2지구1단지(임대),"국민,장기",오류로 30 천왕동280 천왕연지타운1단지,571,398,2013-12-13
도봉구,방학동 393-16 두레주택(현물출자),기타임대,시루봉로15라길 63 방학동 393-16,6,6,1985-10-21
도봉구,방학동 394-11 두레주택(현물출자),기타임대,시루봉로17길 48-2 방학동 394-11,2,2,1985-09-10
성북구,e편한세상(보문4),재개발,보문사길 40 보문동3가 이편한세상보문,440,79,2013-12-26
은평구,갈현 공공기숙사(임대),기타임대,통일로 943 갈현동,41,41,2014-01-24
구로구,천왕2지구2단지(임대),"국민,장기",오리로 1102-10 천왕동281 천왕연지타운2단지,1018,670,2014-01-28
강남구,테헤란아이파크,재건축,테헤란로52길 16 역삼동 테헤란IPARK,411,11,2014-01-24
노원구,공릉동657-7 기숙사,기타임대,화랑로 464 공릉동,43,43,2014-02-06
강남구,세곡2보금자리지구3단지(임대),"영구,국민,장기",밤고개로21길 25 자곡동22 래미안포레,1070,874,2014-03-03
강남구,세곡2보금자리지구4단지(임대),"영구,국민,장기",자곡로 260 자곡동23 강남한양수자인아파트,1304,653,2014-03-03
강서구,내발산동740 기숙사,기타임대,수명로1길 131 내발산동,193,193,2014-03-28
마포구,마포자이2차(대흥3),재개발,서강대길 40 대흥동 마포자이2차아파트,558,96,2014-03-06
서초구,방배롯데캐슬아르떼,재건축,방배천로18길 11 방배동 방배롯데캐슬아르떼,744,61,2013-11-20
중랑구,현대프레미어스엠코(상봉8),재개발,망우로 353 상봉동 상봉 프레미어스 엠코,497,24,2013-11-08
영등포구,영등포아트자이(도림16),재개발,도영로 66 도림동 영등포아트자이아파트,836,147,2014-03-15
서초구,서초포레스타5단지,장기전세,청계산로7길 43 신원동690 서초포레스타5단지,547,152,2014-05-08
성동구,왕십리텐즈힐2(왕십리뉴타운2),재개발,마장로 137 상왕십리동 텐즈힐,211,211,2014-02-27
양천구,신정뉴타운롯데캐슬(신정1-4),재개발,중앙로29길 61 신월동 신정뉴타운롯데캐슬,930,160,2014-02-07
구로구,개봉푸르지오,재건축,남부순환로 775 개봉동 개봉푸르지오,978,115,2014-05-20
강서구,마곡지구 14단지(임대),"국민,장기",마곡중앙로 33 마곡동750 마곡엠밸리14단지,1270,891,2014-04-29
강서구,마곡지구 15단지(임대),"국민,장기",마곡중앙로 36 마곡동751 마곡엠밸리15단지,1171,755,2014-04-29
강서구,마곡지구 6단지(임대),"국민,장기",마곡서1로 100 마곡동743 마곡엠밸리6단지,1466,921,2014-05-14
강서구,마곡지구 7단지(임대),"국민,장기",마곡서로 133 마곡동743-4 마곡엠밸리7단지,1004,338,2014-05-14
양천구,신정공공주택(신정도시마을),기타임대,신정로13가길 6 신정동 신정도시마을주택,92,92,2014-06-13
강서구,마곡지구 1단지(임대),"국민,장기",마곡서1로 131 마곡동734 마곡엠밸리1단지,237,141,2014-05-21
강서구,마곡지구 2단지(임대),"국민,장기",마곡서1로 146 마곡동735 마곡엠밸리2단지,408,242,2014-05-21
강서구,마곡지구 3단지(임대),"국민,장기",마곡서1로 132 마곡동736 마곡엠밸리3단지,315,193,2014-05-21
강서구,마곡지구 4단지(임대),"국민,장기",마곡서로 175 마곡동738 마곡엠밸리4단지,420,258,2014-05-24
중랑구,신내3지구 1단지(임대),"국민,장기",신내역로1길 85 신내동816 신내우디안1단지,1402,787,2014-06-18
강서구,마곡지구 5단지(임대),"국민,장기",마곡서1로 111-11 마곡동740 마곡엠밸리5단지,439,137,2014-05-28
서초구,서초포레스타3단지,장기전세,헌릉로8길 22 신원동698 서초포레스타3단지,482,162,2014-06-24
서초구,양재동212 장기전세아파트,장기전세,매헌로16길 40 양재동 양재리본타워2단지,390,390,2014-06-26
마포구,래미안마포리버웰(용강2),재개발,토정로31길 23 용강동 마포 리버웰,563,97,2014-07-15
서초구,서초더샵포레,장기전세,헌릉로8길 58 내곡동400 서초더샵포레,1264,215,2014-07-13
노원구,중계한화꿈에그린,재건축,덕릉로 83길5 중계동 한화꿈에그린더퍼스트아파트,283,34,2014-08-28
동작구,사당동원룸,기타임대,남부순환로255다길 20 사당동,30,30,2014-09-15
강서구,가양동 1494-3 협동조합형 임대주택(현물출자),기타임대,양천로61길 50 가양동 이음채,24,24,2014-08-23
동대문구,래미안위브(답십리16),재개발,답십리로 130 답십리동 래미안위브아파트,2652,453,2014-10-13
성북구,돈암5구역,재개발,동소문로34길 73 돈암동 길음역 금호어울림 센터힐,490,84,2014-10-31
마포구,상수1구역,재개발,독막로20나길 22 상수동 래미안 밤섬리베뉴Ⅰ,429,73,2014-10-30
마포구,상수2구역,재개발,독막로20나길 21 상수동 래미안 밤섬리베뉴Ⅱ,530,91,2014-10-30
강남구,아크로힐스논현,재건축,언주로 604 논현동 ACROHILLS논현,368,34,2014-12-08
서초구,서초삼익롯데캐슬프레지던트,재건축,서초중앙로24길 57 서초동 서초롯데캐슬프레지던트,280,7,2014-11-13
은평구,"기자촌11단지(은평3-12,임대)",장기전세,연서로46길 7 진관동150,426,21,2014-12-30
구로구,천왕여성안심주택,기타임대,천왕로50 천왕동 천왕이펜하우스S ,96,96,2015-01-28
마포구,용강3구역,재개발,토정로31길 24 용강동 e편한세상 마포3차,547,93,2015-01-26
동대문구,용두4구역,재개발,한빛로 73 용두동 용두롯데캐슬리치,311,57,2015-02-24
강북구,수유동 486-682 장기전세주택,장기전세,인수봉로 101 수유동 프레비스타,18,18,2015-03-26
중구,만리동 예술인 협동조합형 공동주택,기타임대,만리재로27길 69 만리동2가,29,29,2015-03-31
중랑구,면목2코오롱하늘채,재건축,용마산로 210 면목동 용마산 하늘채,265,9,2015-03-19
서초구,서초포레스타6단지,"영구,국민,장기",청계산로9길 1-12 신원동632 서초포레스타6단지,585,423,2015-04-07
성북구,정릉10구역,재개발,아리랑로19가길 20 정릉동 정릉 꿈에그린아파트,349,60,2015-04-30
서초구,서초포레스타2단지,"국민,장기",헌릉로8길 45 내곡동386 서초 포레스타 2단지,1077,858,2015-05-06
성동구,왕십리텐즈힐1(왕십리뉴타운1),재개발,무학로 33 하왕십리동 텐즈힐,333,333,2015-04-24
마포구,아현4구역(공덕자이),재개발,마포대로26길 22 아현동 공덕자이 아파트,201,201,2015-04-13
양천구,목동센트럴푸르지오,재건축,오목로 354 목동 목동센트럴푸르지오,248,67,2015-06-30
은평구,북한산푸르지오(녹번1-3),재개발,통일로 660 녹번동 북한산푸르지오아파트,1230,155,2015-07-22
강남구,세곡2보금자리지구6단지(임대),"국민,장기",밤고개로26길 50 율현동12 강남 한신휴플러스 6단지,378,234,2015-07-26
강남구,세곡2보금자리지구8단지(임대),"국민,장기",밤고개로27길 20 율현동9 강남 한신휴플러스 8단지,169,114,2015-07-26
서초구,서초선포레,행복(공사 건설형),청계산로9길 1-3 신원동 서초 선포레,87,87,2015-09-12
구로구,천왕이펜하우스 7,행복(공사 건설형),천왕로 21 천왕동 천왕이펜하우스7단지,374,374,2015-10-27
중랑구,신내 의료안심주택,기타임대,신내로16길 33 신내동 신내동 의료안심주택,222,222,2015-08-08
금천구,보린두레주택(금천구 시흥동),기타임대,시흥대로24길 50 시흥동,10,10,2015-08-26
강동구,강일리버파크 11,행복(공사 건설형),고덕로97길 100 강일동 강일리버파크11단지,346,346,2015-10-29
서대문구,신촌푸르지오(북아현1-2),재개발,북아현로1길 50 북아현동아현역푸르지오,940,163,2015-10-23
강서구,등촌장기전세주택,장기전세,공항대로 359 등촌동 리본타워,54,54,2015-11-17
강남구,수서동 721-1 장기전세주택,장기전세,광평로60길 32 수서동 하니움,73,73,2015-01-21
강서구,화곡동 청년 협동조합 주택,기타임대,강서로5라길 26 화곡동 청년주택협동조합그랑,15,15,2015-12-26
마포구,래미안웰스트림(현석2구역),재개발,토정로18길 11 현석동 래미안웰스트림,773,132,2016-01-28
노원구,중계센트럴파크,"국민,장기",덕릉로70가길 21 상계동1322 중계센트럴파크,457,229,2016-01-17
강동구,강일2 준주거2(리엔타운),기타임대,상일로12길 89 강일동 리엔타운,76,76,2016-02-18
서대문구,홍제금호어울림,재건축,모래내로 411 홍제동 홍제금호어울림,296,34,2016-02-15
동작구,상도동효성해링턴플레이스,재건축,상도로 207 상도동 상도효성해링턴플레이스,202,55,2016-02-03
강남구,래미안대치팰리스,재건축,삼성로51길 37 대치동 래미안 대치 팰리스1단지,1608,40,2015-09-26
서대문구,DMC파크뷰자이(가재울4),재개발,가재울미래로 2 남가좌동 DMC파크뷰자이,4300,750,2015-10-26
성동구,신금호파크자이(금호13),재개발,금호로 173 금호동2가 신금호파크자이,1156,198,2016-04-20
양천구,신정제4구역,재개발,중앙로36길 15 신정동 목동힐스테이트,1081,185,2016-05-19
영등포구,래미안프레비뉴(신길11구역),재개발,가마산로 442 신길동 래미안영등포프레비뉴,949,172,2015-12-19
강남구,역삼자이,재건축,언주로 420 역삼동 역삼자이아파트,408,51,2016-06-22
강서구,마곡지구 8단지(임대),"국민,장기",마곡서1로 81 마곡동741 마곡엠밸리8단지,531,265,2016-07-22
강서구,마곡지구 10단지(임대),"국민,장기",마곡중앙1로 72 마곡동747 마곡엠밸리10단지,550,492,2016-08-09
양천구,신정4지구 보금자리주택(임대),"국민,장기",신정로 110 신정동1324 신정숲속마을,560,420,2016-08-14
강서구,마곡힐스테이트,재건축,마곡중앙3로 74 마곡동 마곡힐스테이트,603,59,2015-12-17
동작구,상도두산위브트레지움,재건축,상도로30길 40 상도동 상도2차두산위브트레지움아파트,582,160,2016-01-27
서초구,래미안신반포팰리스,재건축,잠원로8길 35잠원동 래미안 신반포 팰리스 ,843,81,2016-06-07
강동구,올림픽파크한양수자인,재건축,성내로 80 성내동 올림픽파크한양수자인,482,43,2016-08-18
영등포구,보라매신동아파밀리에,재건축,디지털로 420 대림동 신대림2차 신동아파밀리에,247,14,2016-07-29
서초구,아크로리버파크 반포,재건축,신반포로15길 19 반포동 아크로리버파크,1612,85,2016-08-10
동작구,상도파크자이(상도제10구역),재개발,장승배기로11가길 11 상도동 상도파크자이,471,84,2016-08-29
강서구,마곡지구 11단지(임대),"국민,장기",공항대로 124 마곡동746 마곡엠밸리11단지,347,245,2016-07-17
강서구,마곡지구 12단지(임대),"국민,장기",공항대로 140 마곡동746-1 마곡엠밸리12단지,363,269,2016-07-17
성동구,옥수파크힐스(옥수13),재개발,매봉길 50 옥수동 옥수 파크힐스 ,1976,340,2016-11-11
금천구,금천롯데캐슬골드파크1차,재건축,벚꽃로 40 독산동 금천롯데캐슬골드파크1차아파트,1743,183,2016-12-09
노원구,수락리버타운,행복(공사 건설형),누원로 19 상계동,48,48,2016-10-18
성동구,왕십리센트라스(왕십리뉴타운3),재개발,왕십리로 410 하왕십리동 센트라스 ,2529,432,2016-11-30
성북구,돈암정릉,재개발,아리랑로 75 돈암동 돈암코오롱하늘채,629,107,2016-12-29
강동구,고덕래미안힐스테이트,재건축,아리수로50길 50 고덕동 래미안힐스테이트고덕,3658,211,2016-12-30
